"HUM:ind","What contemptible scoundrel stole the cork from my lunch ?"
"HUM:gr","What team did baseball 's St. Louis Browns become ?"
"HUM:title","What is the oldest profession ?"
"HUM:ind","Name the scar-faced bounty hunter of The Old West ."
"HUM:ind","Who was The Pride of the Yankees ?"
"HUM:ind","Who killed Gandhi ?"
"HUM:ind","Name 11 famous martyrs ."
"HUM:ind","Who was the inventor of silly putty ?"
"HUM:gr","Which company that manufactures video-game hardware sells the `` super system '' ?"
"HUM:ind","What 1920s cowboy star rode Tony the Wonder Horse ?"
"HUM:gr","What ISPs exist in the Caribbean ?"
"HUM:ind","Who was the prophet of the Muslim people ?"
"HUM:ind","Who is Snoopy 's arch-enemy ?"
"HUM:ind","Who do Herb and Tootsie live next door to ?"
"HUM:ind","Who is the founder of Scientology ?"
"HUM:ind","Who starred in Singing in the Rain and The Singing Nun ?"
"HUM:ind","What 19th-century painter died in the Marquesas Islands ?"
"HUM:ind","Who were the five Marx brothers ?"
"HUM:gr","What company 's logo is a `` W '' in a circle ?"
"HUM:ind","Who invented Make-up ?"
"HUM:ind","Which of the following was Rhodes Scholar ?"
"HUM:ind","Who comprised the now-defunct comic book team known as the Champions ?"
"HUM:ind","What crooner joined The Andrews Sisters for Pistol Packin Mama ?"
"HUM:gr","What piano company claims its product is the `` Instrument of the immortals '' ?"
"HUM:ind","What actress has received the most Oscar nominations ?"
"HUM:gr","Who produces Spumante ?"
"HUM:ind","Who earns their money the hard way ?"
"HUM:ind","Who founded the People 's Temple Commune ?"
"HUM:ind","What athlete makes the most money from sports merchandise sales ?"
"HUM:ind","Who discovered electricity ?"
"HUM:ind","Who was the first American in space ?"
"HUM:gr","Which Japanese car maker had its biggest percentage of sale in the domestic market ?"
"HUM:ind","Who is the mayor of Marbella ?"
"HUM:ind","Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?"
"HUM:ind","Who directed `` Jaws '' ?"
"HUM:gr","What Indian tribe is F Troop perpetually doing battle with ?"
"HUM:ind","What is the name of the managing director of Apricot Computer ?"
"HUM:title","What is the occupation of Nicholas Cage ?"
"HUM:gr","Which Ventura County police department seized the largest cocaine shipment in it 's history ?"
"HUM:ind","Who created Dennis the Menace ?"
"HUM:ind","What dummy received an honorary degree from Northwestern University ?"
"HUM:ind","Name Alvin 's brothers"
"HUM:ind","What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?"
"HUM:ind","What explorer was nicknamed Iberia 's Pilot ?"
"HUM:gr","Which company created the Internet browser Mosaic ?"
"HUM:gr","What organization 's offices were broken into at Watergate in 1972 ?"
"HUM:ind","What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?"
"HUM:ind","Who was the mother of the man who would not be king , the duke of Windsor ?"
"HUM:ind","What was the name of the first Russian astronaut to do a spacewalk ?"
"HUM:ind","Who wrote NN DT NNP NNP '' ?"
"HUM:ind","What diminutive American female gymnast stole the show at the 1984 Olympics ?"
"HUM:gr","What schools in the Washington , DC NN NN VBP NN NN NN NN ."
"HUM:desc","Who is Terrence Malick ?"
"HUM:ind","Who was President of Afghanistan in 1994 ?"
"HUM:ind","Who was the lead actress in the movie ` Sleepless in Seattle ' ?"
"HUM:ind","Who was the 16th President of the United States ?"
"HUM:ind","Who are the two sons of Ozzie and Harriet Nelson ?"
"HUM:ind","Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?"
"HUM:ind","Who was the founding member of the Pink Floyd band ?"
"HUM:gr","What toy company is the world 's No.1 maker of female apparel ?"
"HUM:ind","Which Doonesbury character was likely to turn into a werewolf ?"
"HUM:gr","Who has won the most Super Bowls ?"
"HUM:ind","Who has the only speaking role in `` Silent Movie '' ?"
"HUM:ind","What girl 's name is `` Teddy '' an affectionate form of ?"
"HUM:gr","What company tabulates the ballots in voting for the Academy Awards ?"
"HUM:ind","Who made a boat out of gopher wood ?"
"HUM:ind","Which Bloom County resident wreaks havoc with a computer ?"
"HUM:ind","What part did John Peter Zenger play in the deveopment of the newspaper in America ?"
"HUM:ind","Who followed Caesar ?"
"HUM:ind","Who was the first woman golfer to earn a million ?"
"HUM:ind","Who does the advertizing for Frito-Lay ?"
"HUM:gr","Who is the leading competitor of Trans Union Company ?"
"HUM:ind","Who invented the radio ?"
"HUM:ind","Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?"
"HUM:ind","What actor first portrayed James Bond ?"
